,lv,mv,ward,county,area_type
191,71.82938434,27.88317815,Songhorsoba,Nandi,Non-NR
192,56.17895033,19.71492968,Centralsakwa,Siaya,Non-NR
193,24.53621797,1.267581147,Ngara,Nairobi,Urban
194,32.90714343,7.223086732,Riana,Kisii,Urban
195,106.4906445,53.5461873,Kitisekithuki,Makueni,SR
196,40.46115805,15.1378941,Mnarani,Kilifi,Non-NR
197,24.54403546,5.085566855,Kangeta,Meru,Urban
198,29.864613,4.064729592,Jepkoyai,Vihiga,Urban
199,31.91445535,7.383885359,Kiriita,Nyandarua,Urban
200,35.22304735,9.940194167,Boito,Bureti,Urban
201,46.42774077,17.15860292,Kasikeu,Makueni,Non-NR
202,25.70647051,4.977885587,Mugwe,Tharakanithi,Urban
203,26.33619985,4.295178398,Itibo,Nyamira,Urban
204,60.36271663,21.93757763,Wasimbete,Migori,Non-NR
205,40.83470282,7.861585952,Bogichora,Nyamira,Non-NR
206,96.46804115,45.70997769,Kalawa,Makueni,SR
207,93.52366765,71.29440912,Emining,Baringo,SR
208,43.61341885,15.37860795,Mwiyogoendarasha,Nyeri,Non-NR
209,43.83740775,11.42074289,Ndalu,Bungoma,Non-NR
210,36.58650475,12.68716242,Kabazi,Nakuru,Urban
211,45.21175498,9.509148112,Kanyekini,Kirinyaga,Non-NR
212,65.78795174,27.20970169,Cheraganychebororwa,Elgeyomarakwet,Non-NR
213,16.88443228,0.12486076,Tuwani,Transnzoia,Urban
214,50.08562039,12.53079542,Akirangondu,Meru,Non-NR
215,29.14868571,16.68480528,Naroktown,Narok,NR
216,66.19476802,25.26544209,Mulango,Kitui,Non-NR
217,31.39958609,6.732645363,Iriaini,Nyeri,Urban
218,51.66266202,32.95006575,Burat,Isiolo,SR
219,42.3547855,92.64307969,Lapur,Turkana,SR
220,24.33433548,5.299559708,Isibania,Migori,Urban
221,39.72533425,8.374703821,Kapkangani,Nandi,Non-NR
222,67.38018532,20.34888953,Kisaukiteta,Makueni,Non-NR
223,95.7905624,48.11453749,Kivaa,Machakos,SR
224,30.91384501,9.35904885,Kinale,Kiambu,Urban
225,38.40575573,18.24963158,Chemilil,Kisumu,NR
226,30.73171651,7.933751762,Chania,Kiambu,Urban
227,26.17090178,6.1971918,Marsabitcentral,Marsabit,Urban
228,45.95480133,13.85171279,Keringet,Nakuru,Non-NR
229,65.24755596,60.47219585,Hindi,Lamu,SR
230,40.36487313,8.882557,Westgem,Homabay,Non-NR
231,65.28709719,30.44052233,Kitengela,Kajiado,SR
232,59.13648779,45.43588682,Salama,Laikipia,SR
233,34.64690672,10.67422532,Githobokoni,Kiambu,Urban
234,38.02439394,19.17512882,Viwandani,Nakuru,NR
235,43.28390574,9.247885447,Bukembewest,Bungoma,Non-NR
236,47.90386893,143.4999565,Masalani,Garissa,SR
237,18.0906387,1.539738885,Ntimaeast,Meru,Urban
238,27.91515955,7.719827865,Gathigiriri,Kirinyaga,Urban
239,34.47586896,7.343637947,Isukhanorth,Kakamega,Urban
240,28.57193999,7.601014064,Ruchu,Murang'A,Urban
241,31.62810436,6.259078133,Homabaycentral,Homabay,Urban
242,28.6445394,3.544030258,Wodanga,Vihiga,Urban
243,29.53024667,6.223874702,Gatimu,Nyandarua,Urban
244,46.85894488,8.396819747,Bosotisengera,Kisii,Non-NR
245,29.7181759,5.58283771,Mayoni,Kakamega,Urban
246,41.02552763,23.75846236,Ijara,Garissa,Non-NR
247,39.7347635,72.68874671,Luliseyemole,Mandera,SR
248,35.1423634,68.36921311,Sarman,Wajir,NR
249,35.11945915,6.749608111,Township,Wajir,Urban
250,25.36228631,4.349555553,Kiuu,Kiambu,Urban
251,46.82415842,11.24523731,Elugulu,Busia,Non-NR
252,29.63843971,6.963083147,Muruka,Murang'A,Urban
253,30.34238773,50.85155396,Damajale,Garissa,NR
254,42.65467313,14.47451377,Gatarakwa,Nyeri,Non-NR
255,51.89330788,12.44202989,Eastsangalo,Bungoma,Non-NR
256,42.58450885,144.1089556,Nachola,Samburu,SR
257,30.91062503,27.89986086,Shella,Lamu,NR
258,44.12296698,7.581356149,Bobasichache,Kisii,Non-NR
259,26.72680031,3.570986921,Bogeka,Kisii,Urban
260,45.25834536,9.963322816,Ntunene,Meru,Non-NR
261,50.67523677,12.15408466,Terik,Nandi,Non-NR
262,62.42905553,38.69316093,Loosuk,Samburu,SR
263,46.02430755,12.69233341,Kosirai,Nandi,Non-NR
264,74.68753597,32.64379472,Koibatek,Baringo,SR
265,40.45896959,24.35507541,Kaputieinorth,Kajiado,Non-NR
266,35.15271984,8.034573628,Kapkatet,Kericho,Urban
267,39.68059073,12.22864105,Kalimoni,Kiambu,Non-NR
268,44.64635659,13.04067415,Mbitini,Makueni,Non-NR
269,63.87226904,27.76539329,Karunameibeki,Uasingishu,Non-NR
270,23.03703147,2.644846831,Moyaletownship,Marsabit,Urban
271,41.28478365,11.61277988,Kuinetkapsuswa,Uasingishu,Non-NR
272,89.46943134,48.02189935,Ikangakyatune,Kitui,SR
273,45.06660717,10.47393442,Bunyalacentral,Kakamega,Non-NR
274,96.52868417,42.25071793,Makima,Embu,SR
275,21.53838299,1.881413358,Mkomani,Mombasa,Urban
276,46.28815167,7.991715584,Kisanorth,Kakamega,Non-NR
277,31.05530325,6.272738332,Kongoni,Kakamega,Urban
278,74.7861552,23.96788796,Kyeleni,Machakos,Non-NR
279,41.23478568,18.12904888,Kamberibe,Kilifi,Non-NR
280,45.29669013,873.1789152,Ibrahimure,Wajir,SR
281,42.71145399,178.2871518,Uran,Marsabit,SR
282,43.67925455,10.71647141,Kabwareng,Nandi,Non-NR
283,34.79488529,9.764107462,Kamahuha,Murang'A,Urban
284,28.01500419,6.6594188,Mugoiri,Murang'A,Urban
285,29.65701867,7.575465448,Nginda,Murang'A,Urban
286,22.02596856,1.928001212,Kipkenyo,Uasingishu,Urban
287,47.52794422,14.89900529,Tulwetchuiyat,Uasingishu,Non-NR
288,96.18076981,788.1838254,Dertu,Garissa,SR
289,27.89581277,7.590672804,Chinga,Nyeri,Urban
290,56.91180798,87.14425107,Entonetlenkisim,Kajiado,SR
291,70.16563121,22.70827989,Wanjohi,Nyandarua,Non-NR
292,28.04073456,6.739326356,Mahiga,Nyeri,Urban
